id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
0,Pizza Tower,/app/2231450/,1/26/2023,4529,19807,227,20034,96.39,Action (1),"Action (1) Indie (23)",Tour De Pizza,Tour De Pizza,Engine.GameMaker; SDK.FMOD,1/10/2023,98,"3101","3606",4529,3/25/2023
1,Resident Evil 4,/app/2050650/,3/24/2023,168191,61752,1616,63368,95.75,Action (1),"Action (1) Adventure (25)",CAPCOM Co. Ltd.,CAPCOM Co. Ltd.,Engine.RE_Engine; SDK.AMD_GPU_Services,3/29/2023,97,"46289","47164",168191,3/25/2023
2,The Murder of Sonic the Hedgehog,/app/2324650/,3/31/2023,15543,12643,213,12856,95.54,Casual (4),"Casual (4) Free to Play (37) Indie (23) Simulation (28)",SEGA,SEGA,Engine.Unity; SDK.UnityBurst; SDK.cURL,3/24/2023,98,618,776,15543,3/31/2023
3,Pineapple on pizza,/app/2263010/,3/28/2023,1415,11717,209,11926,95.39,Indie (23),"Casual (4) Free to Play (37) Indie (23)",Majorariatto,Majorariatto,Engine.Unity; SDK.cURL,3/22/2023,98,101,101,1415,3/28/2023
4,Hi-Fi RUSH,/app/1817230/,1/25/2023,6132,14152,324,14476,95.09,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,Engine.Unreal; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/11/2023,97,630,664,6132,1/29/2023
5,东北之夏,/app/2121360/,1/9/2023,8672,8891,165,9056,95.08,RPG (3),"Free to Play (37) RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,9/29/2022,98,62,75,8672,1/10/2023
6,Crab Champions,/app/774801/,4/1/2023,8564,5129,81,5210,94.76,Action (1),"Action (1) Adventure (25) Casual (4) Indie (23) Racing (9) Strategy (2) Early Access (70)",Noisestorm Limited,Noisestorm Limited,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,4/2/2023,98,"4142","6419",8564,4/8/2023
7,Papa's Freezeria Deluxe,/app/2291760/,3/31/2023,1227,1832,20,1852,93.84,Strategy (2),"Action (1) Casual (4) Indie (23) Simulation (28) Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,3/28/2023,99,661,838,1227,4/2/2023
8,A Space for the Unbound,/app/1201270/,1/19/2023,338,1917,27,1944,93.64,Adventure (25),"Adventure (25) Indie (23)",Toge Productions,Mojiken,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2/14/2023,98,63,63,338,1/20/2023
9,Handshakes,/app/2171690/,1/13/2023,195,1166,10,1176,93.3,Free to Play (37),"Casual (4) Free to Play (37)",Pet Pumpkin,Pet Pumpkin,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/26/2023,99,8,15,195,1/21/2023
10,候鸟,/app/1765350/,1/11/2023,162,1149,12,1161,93.12,Adventure (25),Adventure (25),Syawase Works China,KIDFansClub,Engine.RenPy,1/10/2023,98,19,20,162,2/27/2023
11,Симулятор Побега от Военкомата,/app/1248090/,4/3/2023,775,1995,42,2037,93.1,Indie (23),"Action (1) Adventure (25) Indie (23) Simulation (28)",Pirotexnik,Pirotexnik,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/24/2023,97,127,157,775,4/6/2023
12,I commissioned some bees 0,/app/2250060/,1/12/2023,374,1733,36,1769,92.92,Indie (23),"Casual (4) Free to Play (37) Indie (23)",Follow The Fun,Follow The Fun,nan,1/12/2023,97,21,31,374,1/16/2023
13,Spin Rhythm XD,/app/1058830/,3/14/2023,313,2909,86,2995,92.89,Indie (23),"Action (1) Casual (4) Indie (23)",Super Spin Digital,Super Spin Digital,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,3/15/2023,97,57,69,313,4/14/2020
14,OCTOPATH TRAVELER II,/app/1971650/,2/24/2023,17008,4403,158,4561,92.85,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/23/2023,96,"3206","3388",17008,2/26/2023
15,Boneraiser Minions,/app/1944570/,3/9/2023,2029,3093,97,3190,92.82,Action (1),"Action (1) Casual (4) Indie (23) RPG (3)",caiys,caiys,Engine.GameMaker,8/1/2022,96,332,374,2029,3/19/2023
16,Bloody Hell,/app/2056220/,1/27/2023,395,1308,22,1330,92.8,Indie (23),"Action (1) Adventure (25) Free to Play (37) Indie (23)",Pun Intended,Pun Intended,Engine.Unity; SDK.Discord; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,1/27/2023,98,60,69,395,1/29/2023
17,DREDGE,/app/1562430/,3/30/2023,12686,5632,234,5866,92.63,Adventure (25),"Adventure (25) RPG (3)",Team17,Black Salt Games,Engine.Unity; SDK.UnityURP; SDK.cURL,3/30/2023,96,"7523","7523",12686,4/2/2023
18,Your Only Move Is HUSTLE,/app/2212330/,2/2/2023,3405,5664,245,5909,92.5,Indie (23),"Action (1) Indie (23) Simulation (28) Strategy (2)",Ivy Sly,Ivy Sly,Engine.Godot,1/3/2023,95,745,"1255",3405,2/18/2023
19,Touhou Hero of Ice Fairy,/app/1955830/,2/25/2023,573,736,8,744,92.24,Action (1),"Action (1) Adventure (25) Indie (23) RPG (3) Early Access (70)",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,Engine.Unity; SDK.UnityURP,4/14/2023,98,69,81,573,2/25/2023
20,Your Turn To Die -Death Game By Majority- ,/app/2067780/,2/20/2023,471,616,4,620,92.23,Indie (23),"Adventure (25) Indie (23) Early Access (70)",0UP GAMES,Nankidai,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2/17/2023,99,39,47,471,2/20/2023
21,DR LIVESEY ROM AND DEATH EDITION,/app/2181930/,2/13/2023,818,4397,221,4618,91.65,Action (1),"Action (1) Adventure (25) Indie (23) RPG (3) Simulation (28)",Agafonoff,Agafonoff,Engine.Unity; SDK.SteamworksNET; SDK.cURL,11/22/2022,95,43,50,818,4/6/2023
